cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_ble;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.12069356853774146;True;True;True;True;True;0.11746309272878501;0.21564003019411027;0.6530137382035771;7;33;0.1988218011990274;5603;15;592;0.4931423754938364;8;thresholds;affine;50;1;5.864144106670067e-05;0.8845;58;0.8785;3530265750;5124;7090;24356;25588;999999;327278;294838;
0.043200917659162286;True;True;False;True;True;0.11746309272878501;0.21564003019411027;0.6530137382035771;8;39;0.15809471208132664;5603;3;415;0.01648899399049885;16;leafs;scale;50;2;5.7199371120112024e-05;0.8766;49;0.8568;3530265750;4906;6872;24268;25500;999999;326898;294454;
0.0820889136507253;True;True;False;False;True;0.11746309272878501;0.21564003019411027;0.6530137382035771;6;54;0.01709193003516775;5603;12;551;0.7436644193619962;16;thresholds;affine;50;3;5.690924245123953e-05;0.8867;78;0.8764;3530265750;5286;7252;24428;25660;999999;327362;294918;
0.017376412405632022;False;True;False;True;False;0.11746309272878501;0.21564003019411027;0.6530137382035771;6;29;0.09673263901711969;5603;10;163;0.6747766842740464;16;thresholds;affine;50;4;4.06055306973198e-05;0.8947;853;0.9089;3530265750;11016;12982;28092;29324;999999;331642;299198;
0.10201793950242657;False;False;True;True;True;0.11746309272878501;0.21564003019411027;0.6530137382035771;8;22;0.1125785089246062;5603;11;980;0.39639693948573296;8;leafs;scale;50;5;3.6114053859363774e-05;0.9353;674;0.9479;3530265750;9052;11018;26700;27932;999999;329878;297434;
0.10995295619653188;True;False;False;True;True;0.11746309272878501;0.21564003019411027;0.6530137382035771;6;52;0.012577799565742533;5603;21;982;0.5047250197369061;8;both;scale;50;6;2.9837254204297087e-05;0.8795;25;0.8785;3530265750;5052;7018;24500;25732;999999;327190;294750;
