cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_iot;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.1034751947155414;True;True;True;False;False;0.09592718529614576;0.4345781062443621;0.6574725641142992;4;44;0.141414286022487;1728;11;46;0.42464246508002085;8;leafs;scale;20;1;4.666061492083316e-05;0.7788;22;0.7629;242886303;4636;6602;23860;25092;24188;326794;294350;
0.09443234273681866;True;False;False;False;True;0.09592718529614576;0.4345781062443621;0.6574725641142992;5;43;0.19967602605922197;1728;15;567;0.14021954891033225;16;leafs;scale;20;2;4.644023417195847e-05;0.7788;16;0.7629;242886303;4658;6624;24092;25324;24420;326778;294334;
0.04996838138658655;True;True;False;False;False;0.09592718529614576;0.4345781062443621;0.6574725641142992;7;52;0.043536094071530154;1728;17;764;0.24473135689645173;16;leafs;scale;20;3;2.41986290842665e-05;0.8269;227;0.8139;242886303;5578;7544;24428;25660;24756;327406;294962;
0.1272241430644787;False;False;False;False;False;0.09592718529614576;0.4345781062443621;0.6574725641142992;2;41;0.085276088463585;1728;24;747;0.2314853604562664;16;both;affine;20;4;8.528827372032526e-06;0.8538;9905;0.8559;242886303;66692;68658;78268;79500;78596;375698;343166;
0.016984696368181593;False;False;False;False;True;0.09592718529614576;0.4345781062443621;0.6574725641142992;4;24;0.06838218980744343;1728;23;59;0.41483567664883453;8;both;affine;20;5;4.914762434895259e-06;0.6504;2572;0.6304;242886303;48572;50538;52452;53684;52780;353034;319946;
0.15810952954305124;True;True;True;True;True;0.09592718529614576;0.4345781062443621;0.6574725641142992;3;41;0.0819752249681264;1728;11;730;0.4326644131136908;16;thresholds;scale;20;6;4.1509984652252155e-06;0.3496;18;0.3696;242886303;4824;6790;24156;25388;24484;327078;294634;
0.15869144014251554;False;True;True;False;True;0.09592718529614576;0.4345781062443621;0.6574725641142992;4;24;0.08151860491772064;1728;23;523;0.16025871546854353;16;thresholds;scale;20;7;1.5908345769776225e-06;0.3496;2721;0.3696;242886303;21660;23626;39076;40308;39404;347118;314054;
0.010119972695133803;True;False;False;True;True;0.09592718529614576;0.4345781062443621;0.6574725641142992;2;38;0.09895639778370954;1728;22;452;0.727381676994008;8;leafs;scale;20;8;2.7188073347320436e-07;0.8395;765;0.8307;242886303;8700;10666;26940;28172;27268;329838;297394;
0.017905581323954305;False;True;True;True;False;0.09592718529614576;0.4345781062443621;0.6574725641142992;9;35;0.05045147355670791;1728;16;199;0.45158672942479866;8;both;affine;20;9;2.593508766020829e-07;0.8301;3073;0.8155;242886303;25082;27048;38940;40172;39268;343954;310894;
