cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_ble;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.03624131554596419;True;True;False;True;False;0.04564828514076384;0.5596174949460405;0.7075860526933064;9;32;0.17837903497969324;1105;14;344;0.304886033411962;16;both;affine;20;1;5.720168206717289e-05;0.8957;180;0.8915;647892279;5688;7654;24540;25772;999999;327550;295110;
0.0861150645872674;False;False;True;True;True;0.04564828514076384;0.5596174949460405;0.7075860526933064;2;50;0.1558416460600165;1105;20;264;0.4458285456986186;8;both;affine;20;2;1.942869887425809e-05;0.6104;161;0.5662;647892279;7186;9152;25700;26932;999999;328426;295982;
0.12070179945200415;False;True;True;False;True;0.04564828514076384;0.5596174949460405;0.7075860526933064;2;58;0.04398553921945835;1105;19;573;0.6482415935120902;16;both;affine;20;3;1.5523052480490287e-05;0.6104;1150;0.5662;647892279;20590;22556;32924;34156;999999;335266;302822;
