cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_iot;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.046595197991306264;True;False;False;True;True;0.05055887948069286;0.07645157313442764;0.7930162206353372;9;29;0.11912453558764528;4585;19;881;0.7326897480878024;8;thresholds;affine;20;1;5.812649519733946e-05;0.8754;94;0.9132;1603362544;5362;7328;24508;25740;24836;327454;295014;
0.022053417529094288;False;False;True;False;True;0.05055887948069286;0.07645157313442764;0.7930162206353372;4;41;0.04550541437861863;4585;9;59;0.5306727704953299;16;both;scale;20;2;3.080180928858885e-05;0.9365;973;0.9566;1603362544;12886;14852;29636;30868;29964;332606;300162;
0.01904252772280264;False;False;False;False;True;0.05055887948069286;0.07645157313442764;0.7930162206353372;3;26;0.15904663728601673;4585;4;745;0.4838328417208399;8;leafs;scale;20;3;2.7344486457858053e-05;0.9336;3489;0.9544;1603362544;28174;30140;38532;39764;38860;343398;310338;
