cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_iot;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.042410644300862256;True;False;False;False;False;0.5828525652895357;0.35821419839485935;0.7974746643002459;3;22;0.09795111013811128;291;8;1011;0.7575064237298199;16;both;affine;20;1;4.5271451355769905e-05;0.8255;387;0.8291;2337446730;6194;8160;24884;26116;25212;327894;295454;
0.04935849790409167;True;True;False;False;True;0.5828525652895357;0.35821419839485935;0.7974746643002459;3;39;0.1045253555247203;291;18;410;0.4479407502237728;16;both;scale;20;2;4.452472205240133e-05;0.8231;116;0.8181;2337446730;5454;7420;24828;26060;25156;327518;295074;
0.096913364457416;True;True;True;False;True;0.5828525652895357;0.35821419839485935;0.7974746643002459;6;56;0.02289873263906034;291;9;987;0.5208161618406854;8;thresholds;affine;20;3;4.4302022298275934e-05;0.7763;16;0.7792;2337446730;4832;6798;24172;25404;24500;327090;294646;
0.028198891240294628;False;True;False;True;False;0.5828525652895357;0.35821419839485935;0.7974746643002459;8;59;0.20138873913540328;291;8;767;0.6097192177632834;16;thresholds;scale;20;4;2.0905111057090493e-05;0.7268;1990;0.7298;2337446730;15358;17324;31684;32916;32012;334870;302426;
0.13373751594892602;False;True;False;False;False;0.5828525652895357;0.35821419839485935;0.7974746643002459;3;58;0.04815195515361576;291;16;933;0.2920891043632193;8;both;affine;20;5;1.1779597971652248e-05;0.8070;5298;0.7708;2337446730;45130;47096;56532;57764;56860;354926;321830;
0.15517256673625027;False;True;True;True;True;0.5828525652895357;0.35821419839485935;0.7974746643002459;2;26;0.012546098983425949;291;6;68;0.7103144811469522;16;thresholds;scale;20;6;2.646934542060408e-06;0.3526;642;0.3428;2337446730;9356;11322;28532;29764;28860;332218;299778;
0.011913851623908752;True;True;True;False;False;0.5828525652895357;0.35821419839485935;0.7974746643002459;4;33;0.02092744979229092;291;16;72;0.6462724863390323;8;both;scale;20;7;2.5928521351505727e-07;0.8403;202;0.8254;2337446730;5716;7682;24548;25780;24876;327574;295130;
