cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_iot;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.06684429722646885;True;True;True;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;9;24;0.159684665556107;3148;19;274;0.3267216060481848;16;thresholds;affine;20;1;4.8115247654047344e-05;0.8054;166;0.8239;242886303;5310;7276;24284;25516;24612;327238;294798;
0.05074820479937537;True;False;True;False;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;3;38;0.1269459632289211;3148;14;535;0.2289722407859968;8;leafs;scale;20;2;4.7726712916427515e-05;0.7920;49;0.7792;242886303;4786;6752;23956;25188;24284;326862;294422;
0.07971334416271503;True;True;True;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;3;48;0.05781546164556572;3148;22;209;0.08442275208662563;8;thresholds;scale;20;3;4.704723883926988e-05;0.7831;31;0.7792;242886303;4686;6652;23892;25124;24220;326818;294374;
0.08281909489286786;True;True;True;True;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;8;58;0.14111836724388618;3148;12;798;0.039559792986523984;16;leafs;scale;20;4;4.688769269950477e-05;0.7831;16;0.7629;242886303;4658;6624;24092;25324;24420;326778;294334;
0.04531985583460717;True;True;False;False;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;4;47;0.1613323826339752;3148;6;599;0.20999752339527367;8;thresholds;scale;20;5;4.682602834690721e-05;0.8125;208;0.7871;242886303;5136;7102;24132;25364;24460;327058;294618;
0.10497556985625736;True;False;False;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;8;41;0.14047420082523254;3148;7;354;0.5807594377261754;8;both;affine;20;6;4.666061492083316e-05;0.7788;22;0.7629;242886303;4636;6602;23860;25092;24188;326794;294350;
0.15432302126466804;True;False;False;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;6;24;0.06247535250940594;3148;5;916;0.4133878402483957;16;both;affine;20;7;4.666061492083316e-05;0.7788;22;0.7629;242886303;4636;6602;23860;25092;24188;326794;294350;
0.04364984477588746;True;False;False;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;9;55;0.17053954590683715;3148;14;150;0.279784088279374;8;leafs;affine;20;8;4.6314356783030004e-05;0.8284;328;0.8197;242886303;5980;7946;24732;25964;25060;327726;295282;
0.047017354198709664;True;False;False;False;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;8;54;0.09929562921339483;3148;17;988;0.45150013174015147;8;both;scale;20;9;4.629523646939034e-05;0.8271;92;0.8207;242886303;5746;7712;24924;26156;25252;327678;295234;
0.03916805051066151;True;False;False;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;3;46;0.09633439613346874;3148;15;769;0.5371447251061311;16;thresholds;affine;20;10;4.5242509554491475e-05;0.8280;328;0.8197;242886303;5980;7946;24732;25964;25060;327726;295282;
0.12605262603946152;True;True;False;True;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;9;27;0.06008100918899386;3148;5;341;0.22395958900196689;8;thresholds;affine;20;11;4.4722147334716824e-05;0.7788;16;0.7629;242886303;4832;6798;24172;25404;24500;327090;294646;
0.09850383987920579;True;True;False;True;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;9;30;0.15601496165490278;3148;6;854;0.7329742390711018;8;thresholds;affine;20;12;4.4722147334716824e-05;0.7788;16;0.7629;242886303;4832;6798;24172;25404;24500;327090;294646;
0.12192774599483108;True;False;True;False;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;3;57;0.1431421092895148;3148;20;583;0.6100066403855645;8;thresholds;affine;20;13;4.4722147334716824e-05;0.7788;16;0.7629;242886303;4832;6798;24172;25404;24500;327090;294646;
0.03231882094120139;True;False;True;False;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;2;23;0.015271349335018494;3148;20;407;0.23756151042889573;16;thresholds;affine;20;14;4.341140133489205e-05;0.7788;36;0.7629;242886303;4984;6950;24276;25508;24604;327206;294766;
0.03461372777163734;True;True;False;True;True;0.10133008881188003;0.4710986756352915;0.7163741870416058;5;50;0.03265786700514585;3148;14;81;0.4148301693718017;16;both;scale;20;15;4.313488885512722e-05;0.8093;150;0.8028;242886303;5988;7954;25148;26380;25476;327790;295346;
0.03457185494468526;True;True;False;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;8;33;0.1370121596024153;3148;5;198;0.1151834455117521;16;thresholds;affine;20;16;3.9743447400458e-05;0.7685;224;0.7429;242886303;5518;7484;24340;25572;24668;327250;294810;
0.06473552623300678;False;False;True;True;False;0.10133008881188003;0.4710986756352915;0.7163741870416058;5;36;0.13765648465667715;3148;23;146;0.7646579471119617;8;both;affine;20;17;3.2873586477175054e-05;0.8544;1678;0.8512;242886303;12054;14020;29756;30988;30084;333958;301518;
