cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_ble;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.035226246081628484;True;True;True;True;False;0.7218132696424256;0.5560187685279457;0.7659290304251398;6;56;0.020402814755269186;555;23;612;0.4875193428100466;16;both;affine;50;1;5.8226823759667176e-05;0.8674;134;0.9046;1603362544;5266;7232;24252;25484;999999;327222;294778;
0.060501081716824445;True;False;True;False;True;0.7218132696424256;0.5560187685279457;0.7659290304251398;8;42;0.16391220755180366;555;4;39;0.5960764017695016;8;thresholds;affine;50;2;5.683286350974335e-05;0.8899;67;0.9154;1603362544;5278;7244;24420;25652;999999;327390;294950;
0.02653793094672007;False;False;True;False;True;0.7218132696424256;0.5560187685279457;0.7659290304251398;7;54;0.0998495616185331;555;15;908;0.4619876261238965;8;leafs;scale;50;3;3.1867491753058194e-05;0.9394;2005;0.9501;1603362544;17188;19154;32236;33468;999999;335694;303250;
0.011424481323901505;True;True;True;False;True;0.7218132696424256;0.5560187685279457;0.7659290304251398;8;38;0.08961321005972864;555;6;253;0.6595528671575308;16;thresholds;scale;50;4;1.8842856511956764e-05;0.6048;219;0.6161;1603362544;6454;8420;25204;26436;999999;328238;295794;
