cegb_penalty_split;enable_cegb;enable_merging;enable_prepruning;enable_pruning;enable_quantization;lambda_l1;lambda_l2;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_clusters;num_leaves;pruning_percentile;quantization_bits;quantization_diff;quantization_type;stopping_rounds;rank;train_score;test_score;estimateMemory;accuracy;random_state;arduino:avr:uno;arduino:avr:leonardo;arduino:samd:mkr1000;arduino:samd:mkrgsm1400;arduino:samd:nano_33_iot;esp32:esp32:adafruit_feather_esp32_v2;esp32:esp32:sparklemotion;
0.027254582877675834;True;True;True;False;False;0.6472081147739064;0.5181636582368335;0.7979293996798218;3;36;0.09734084562808507;4986;22;836;0.15163976942924787;8;leafs;affine;10;1;4.794629889493247e-05;0.8063;58;0.7955;3626764237;4826;6792;23980;25212;24308;326894;294454;
0.01738935759566819;True;True;True;True;False;0.6472081147739064;0.5181636582368335;0.7979293996798218;2;37;0.06330902675581672;4986;22;901;0.5781154292864522;16;leafs;affine;10;2;4.643285073398752e-05;0.7813;22;0.7802;3626764237;4636;6602;23860;25092;24188;326794;294350;
0.09510485515232987;True;True;True;False;False;0.6472081147739064;0.5181636582368335;0.7979293996798218;8;49;0.12190243170869901;4986;20;348;0.1451650111007791;8;thresholds;scale;10;3;4.6278022363306824e-05;0.7750;22;0.7802;3626764237;4636;6602;23860;25092;24188;326794;294350;
0.0921779992145122;True;True;False;True;False;0.6472081147739064;0.5181636582368335;0.7979293996798218;9;47;0.105808244233482;4986;19;668;0.31332246917619677;8;thresholds;affine;10;4;4.6278022363306824e-05;0.7750;22;0.7802;3626764237;4636;6602;23860;25092;24188;999999;294350;
0.10211097211066872;True;True;True;True;False;0.6472081147739064;0.5181636582368335;0.7979293996798218;9;38;0.07331633830965717;4986;24;190;0.6827177240288379;16;leafs;affine;10;5;4.6278022363306824e-05;0.7750;22;0.7802;3626764237;4636;6602;23860;25092;24188;326794;294350;
0.13430962012515946;True;False;False;False;True;0.6472081147739064;0.5181636582368335;0.7979293996798218;3;31;0.0991653105573299;4986;8;278;0.7442664690175507;8;leafs;scale;10;6;4.607923360745069e-05;0.7750;13;0.7802;3626764237;4656;6622;24076;25308;24404;326774;294330;
0.014798563312601423;True;True;True;False;True;0.6472081147739064;0.5181636582368335;0.7979293996798218;4;50;0.14832754554493374;4986;16;538;0.11582494985240425;8;both;scale;10;7;4.6019350729401604e-05;0.8280;66;0.8507;3626764237;5550;7516;24788;26020;25116;327554;295110;
0.12394688309894562;True;True;True;False;True;0.6472081147739064;0.5181636582368335;0.7979293996798218;7;24;0.12722902502442035;4986;21;338;0.6716778721316133;8;thresholds;affine;10;8;4.428644529175881e-05;0.7753;16;0.7802;3626764237;4832;6798;24172;25404;24500;327090;294646;
0.02374920785924125;True;False;False;False;True;0.6472081147739064;0.5181636582368335;0.7979293996798218;2;56;0.05215889769768531;4986;22;48;0.5115830222169969;16;thresholds;affine;10;9;3.895600072178083e-05;0.8369;495;0.8496;3626764237;7412;9378;25860;27092;26188;328962;296518;
0.0978823975918511;True;False;False;False;True;0.6472081147739064;0.5181636582368335;0.7979293996798218;9;37;0.030812258144693322;4986;8;218;0.7482393467130948;16;both;scale;10;10;2.8508691395842565e-05;0.6470;12;0.6609;3626764237;999999;6804;24388;25620;24716;327058;294614;
